0;0;0;0;x;x
1;126;201;24;Salmon Island;x
2;92;93;11;sea_canarias;x
3;89;22;0;The Vale;x
4;147;29;116;;x
5;147;72;135;;x
6;219;151;135;;x
7;145;135;0;;x
8;197;219;0;;x
9;114;219;87;;x
10;102;56;255;Long River;x
11;219;24;147;;x
12;61;219;137;;x
13;94;33;0;Green Mountainds;x
14;255;252;124;;x
15;255;89;73;;x
16;255;114;119;;x
17;0;148;255;Green River;x
18;127;116;15;;x
19;48;107;34;;x
20;127;28;49;;x
21;100;42;107;;x
22;66;147;124;;x
23;147;125;42;;x
24;7;147;0;;x
25;92;35;153;;x
26;38;49;255;Blue Lake;x
27;201;139;120;;x
28;155;127;0;;x
29;96;255;252;Black River;x
30;50;155;45;;x
31;155;0;31;;x
32;164;46;170;;x
33;170;47;13;;x
34;170;0;102;;x
35;145;86;255;;x
36;255;86;193;;x
37;219;37;70;;x
38;219;28;139;;x
39;154;91;255;;x
40;145;45;78;;x
41;29;170;29;;x
42;147;38;54;;x
43;147;138;35;;x
44;45;255;101;;x
45;219;67;186;;x
46;100;170;113;;x
47;101;39;127;;x
48;196;67;219;;x
49;81;255;104;;x
50;30;145;80;;x
51;131;96;219;;x
52;63;149;219;;x
53;62;127;107;;x
54;147;50;61;;x
55;147;68;97;;x
56;255;78;58;;x
57;255;94;222;;x
58;204;164;102;Salmon Island 3;x
59;241;53;255;;x
60;219;43;58;;x
61;255;238;86;;x
62;0;147;46;;x
63;215;219;0;;x
64;255;138;109;;x
65;69;73;147;;x
66;96;152;255;;x
67;219;89;176;;x
68;112;255;99;;x
69;137;200;147;;x
70;93;204;53;Salmon Island 2;x
71;198;130;87;;x
72;170;0;91;;x
73;26;219;35;;x
74;170;51;125;;x
75;219;148;17;;x
76;219;10;97;;x
77;135;105;198;;x
78;153;39;143;;x
79;79;158;83;;x
80;198;41;125;;x
81;198;29;13;;x
82;65;153;102;;x
83;255;86;125;;x
84;76;0;153;;x
85;99;255;56;;x
86;149;55;153;;x
87;92;152;178;White River;x
88;255;50;101;;x
89;153;55;76;;x
90;45;132;198;;x
91;73;245;255;Frog River;x
92;153;94;55;;x
93;255;81;208;;x
94;153;26;74;;x
95;153;119;45;;x
96;151;255;135;;x
97;198;178;23;;x
98;160;24;40;;x
99;170;148;0;;x
100;153;27;127;;x
101;40;255;72;;x
102;255;247;196;;x
103;153;84;0;;x
104;41;198;117;;x
105;13;153;139;;x
106;198;35;182;;x
107;178;198;47;;x
108;153;81;131;;x
109;105;153;141;;x
110;16;153;55;;x
111;107;129;255;;x
112;255;5;34;;x
113;198;53;181;;x
114;240;43;255;;x
115;69;7;255;;x
116;198;43;51;;x
117;116;81;255;;x
118;132;167;255;Black River;x
119;74;153;29;;x
120;177;81;204;;x
121;153;149;33;;x
122;153;12;31;;x
123;66;153;55;;x
124;67;140;153;;x
125;204;142;95;;x
126;0;96;43;;x
127;18;81;41;;x
128;255;71;236;;x
129;198;20;7;;x
130;36;2;137;Yellow River;x
131;135;51;198;;x
132;198;1;166;;x
133;53;110;255;Yellow River;x
134;164;255;119;;x
135;67;9;81;;x
136;255;152;130;;x
137;72;201;46;;x
138;0;198;92;;x
139;255;215;58;;x
140;137;53;168;;x
141;78;255;68;;x
142;119;117;255;;x
143;56;185;255;Black River;x
144;163;255;84;;x
145;201;22;16;;x
146;63;79;255;Black River;x
147;30;109;255;Frog River;x
148;133;147;63;;x
149;66;153;53;;x
150;255;73;116;;x
151;255;58;65;;x
152;204;75;129;;x
153;17;88;255;Red Lake;x
154;198;25;57;;x
155;255;248;53;;x
156;153;148;100;;x
157;198;173;69;;x
158;41;198;86;;x
159;149;76;153;;x
160;168;162;0;;x
161;220;66;255;;x
162;69;147;108;;x
163;72;153;47;;x
164;201;66;172;;x
165;204;26;53;;x
166;153;21;93;;x
167;153;73;123;;x
168;147;20;50;;x
169;159;81;255;;x
170;129;255;109;;x
171;59;160;86;;x
172;168;49;28;;x
173;153;0;96;;x
174;87;81;255;Blue Lake;x
175;45;152;158;Frog River;x
176;46;22;255;Yellow River;x
177;96;178;255;Black River;x
178;198;11;120;;x
179;163;255;71;;x
180;119;204;116;;x
181;66;153;26;;x
182;74;153;137;;x
183;153;23;21;;x
184;75;168;109;;x
185;53;194;255;;x
186;201;48;119;;x
187;255;50;105;;x
188;206;73;255;;x
189;82;90;147;;x
190;155;1;58;;x
191;255;142;182;;x
192;127;69;198;;x
193;20;119;41;;x
194;94;145;255;White Lake;x
195;153;111;133;;x
196;155;104;133;;x
197;147;75;112;;x
198;117;50;24;;x
199;126;153;79;;x
200;153;32;54;;x
201;198;179;0;;x
202;255;71;111;;x
203;90;155;79;;x
204;54;155;20;;x
205;198;47;120;;x
206;117;255;252;;x
207;168;16;100;;x
208;107;20;39;;x
209;101;58;255;Green River;x
210;165;46;84;;x
211;163;61;17;;x
212;107;139;255;;x
213;135;191;255;New River;x
214;255;81;122;;x
215;49;165;70;;x
216;255;234;76;;x
217;162;165;0;;x
218;165;94;162;;x
219;255;61;148;;x
220;165;39;73;;x
221;165;163;11;;x
222;122;255;119;;x
223;165;8;100;;x
224;40;109;46;;x
225;255;61;180;;x
226;165;8;81;;x
227;0;165;8;;x
228;245;255;58;;x
229;26;219;68;;x
230;228;255;186;;x
231;165;106;16;;x
232;163;32;80;;x
233;51;165;76;;x
234;84;163;55;;x
235;137;255;186;;x
236;101;156;255;Green River;x
237;219;0;73;;x
238;0;165;151;;x
239;255;68;90;;x
240;157;219;0;;x
241;107;36;4;;x
242;76;79;255;;x
